INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00731,ENG,ENGLAND,6413,1029179,1
I00731,RCF,AIREDALE NHS FOUNDATION TRUST,10,2160,0
I00731,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,50,6410,1
I00731,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",60,8340,1
I00731,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,20,3360,1
I00731,R1H,BARTS HEALTH NHS TRUST,110,19385,1
I00731,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,65,10800,1
I00731,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,65,5595,1
I00731,RMC,BOLTON NHS FOUNDATION TRUST,50,4105,1
I00731,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,25,5400,0
I00731,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,15,4270,0
I00731,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15,4775,0
I00731,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,60,13375,0
I00731,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,20,8160,0
I00731,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,15,3735,0
I00731,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,*,2850,*
I00731,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,15,4560,0
I00731,RJ6,CROYDON HEALTH SERVICES NHS TRUST,*,3020,*
I00731,RN7,DARTFORD AND GRAVESHAM NHS TRUST,25,6775,0
I00731,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,40,8445,0
I00731,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,15,2305,1
I00731,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,20,6280,0
I00731,RJN,EAST CHESHIRE NHS TRUST,*,1275,*
I00731,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,55,11100,0
I00731,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,20,5210,0
I00731,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,105,11030,1
I00731,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,35,5665,1
I00731,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,35,7310,0
I00731,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,60,12790,0
I00731,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,40,3030,1
I00731,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,35,2865,1
I00731,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,70,11995,1
I00731,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,80,5275,2
I00731,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,375,39510,1
I00731,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,15,6400,0
I00731,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,10,2530,0
I00731,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,15,2310,1
I00731,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,280,13675,2
I00731,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,85,17875,0
I00731,R1F,ISLE OF WIGHT NHS TRUST,*,1520,*
I00731,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30,4425,1
I00731,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,25,3750,1
I00731,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,95,17180,1
I00731,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,10,2600,0
I00731,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,85,14235,1
I00731,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,145,22895,1
